alim_nom_fr;Energie (kcal/100 g);Protéines (g/100 g);Glucides (g/100 g);Lipides (g/100 g);Fibres (g/100 g)
Chou à la crème pâtissière;225;4.31;34.9;7.3;1
Chouquette;408;9.13;40.6;22.9;1.5
Profiterole avec glace vanille et sauce chocolat;286;5.38;31.4;14.9;1.6
Profiteroles (crème pâtissière et sauce chocolat), rayon frais;251;5.06;31.1;11.4;2
Éclair;264;5.78;31.6;11.8;3.9
Tarte aux fruits et crème pâtissière;205;2.94;30;7.7;1.3
Chausson aux pommes;360;4.17;42.2;18.7;3.1
Tarte normande aux pommes (garniture farine, oeufs, crème, sucre, calvados), artisanale;313;4.44;38.7;15;2.5
Tarte au citron;319;5.56;43.1;13.6;0.97
Tarte ou tartelette aux pommes;227;2.52;32.7;8.79;3.3
Tarte aux fraises, artisanale;318;3.19;31;19.8;1.5
Crumble aux pommes, préemballé;226;1.71;35.4;8.17;1.9
Tarte aux abricots;285;3.18;41;10.7;5.9
Tarte aux fruits rouges;231;3.5;36.5;6.87;4.5
Tarte tatin aux pommes;245;1.76;38.1;9.25;1.25
Tarte au chocolat, fabrication artisanale;469;5.94;40.9;30.7;2.9
Tarte ou tartelette aux fruits (aliment moyen);245;3.18;34.1;9.99;2.4
Flan pâtissier aux oeufs ou à la parisienne;211;3.97;33.2;6.85;0.48
Charlotte aux fruits;200;5.16;28.2;6.64;2.8
Gâteau de semoule aux raisins et caramel, rayon frais;146;3.79;24.5;3.57;0.3
Gâteau de riz au caramel, rayon frais;144;3.3;25.4;3.17;0.06
Gâteau moka ou gâteau au café;386;4.1;23;30.8;0.4
Gâteau au chocolat, préemballé;445;5.88;51;24;3.7
Gâteau au chocolat type fondant ou mi-cuit, préemballé;467;6;43;29.7;1.85
Gâteau ou cake au yaourt, préemballé;409;5.88;52;19.1;2.7
Gâteau moelleux nature type génoise, préemballé;378;6.7;57.6;13.2;0.8
Galette des rois feuilletée, fourrée à la pomme;289;3.4;29.1;17.2;2
Galette des rois feuilletée, fourrée frangipane, et Pithiviers;438;7.6;33.4;30;2
Crêpe, nature, préemballée, rayon frais;257;6.31;41.6;6.8;2.2
Crêpe, nature, préemballée, rayon température ambiante;389;7.65;59.9;12.8;1.61
Galette de sarrasin, nature, souple (à garnir) préemballée;161;5.32;30.5;1.74;0
Gâteau basque à la crème pâtissière;340;3.75;51.5;13;1
Gâteau basque aux cerises;395;4.3;63.3;13.5;1.4
Crêpe fourrée au chocolat et aux billes de céréales croustillantes, préemballée;448;6.81;58.3;20.3;2.52
Blinis;270;5.94;34.6;11.5;2.23
Crêpe fourrée au sucre, préemballée;406;6.62;58.7;15.8;1.04
Crêpe fourrée à la confiture, faite maison;296;6.51;54;5.74;1
Crêpe fourrée au chocolat ou à la pâte à tartiner chocolat et noisettes, faite maison;388;7.76;54.3;15.1;2.22
Pancake (petite crêpe épaisse), sucrée, préemballée;358;5.5;45.3;16.6;2.2
Pancake (petite crêpe épaisse), fourrée à la pâte à tartiner chocolat noisette, préemballée;331;6.83;50.1;11;2.2
Crêpe fourrée au chocolat, préemballée;439;6.83;58.6;19.1;2.43
Crêpe fourrée fraise, préemballée;351;4.96;64.3;7.91;1.5
Gaufre fine fourrée au miel, au caramel ou à la vergeoise, préemballée;455;4.56;67;18.3;1.9
Gaufre bruxelloise ou liégeoise nature, artisanale;301;8;36.1;13.4;1.9
Gaufre moelleuse (type bruxelloise ou liégeoise), nature ou sucrée, préemballée;455;6.19;52.1;24.1;2.4
Gaufre moelleuse (type bruxelloise ou liégeoise), au chocolat, préemballée;460;5.59;54.4;23.9;2.36
Gaufre croustillante (fine ou sèche), nature ou sucrée, préemballée;477;6.22;67.6;19.7;1.78
Beignet ou donut rond moelleux, sans fourrage, saupoudré de sucre;404;7.25;39.4;23.7;2
Beignet ou donut fourré aux fruits (fourrage type confiture), préemballé;391;5.1;49.5;19;0.9
Beignet ou donut fourré ou nappé goût chocolat ou chocolat noisette, préemballé;407;5.3;48;21;2.6
Pâtisserie (aliment moyen);279;4.14;35.5;12.9;1.98
Cake aux fruits (confits et/ou raisins secs), préemballé;360;4.19;55.2;12.6;2.1
Gâteau marbré au chocolat, préemballé;438;5.68;50.5;23.2;1.83
Gâteau moelleux nature, préemballé;438;5.42;53.1;22.4;1.23
Gâteau moelleux aux fruits, préemballé;382;3;69;10;2
Gâteau moelleux aux fruits à coque, type gâteau creusois, préemballé;418;6.35;48.8;21.5;1.9
Gâteau moelleux fourré au chocolat, type mini-cake, mini-roulé, ourson…, préemballé;414;5.44;55.4;18.2;3.2
Gâteau moelleux fourré aux fruits type mini-roulé ou mini-cake fourré, préemballé;374;4.63;57.7;12.8;4.5
Gâteau moelleux aux pépites de chocolat, type mini-cake, préemballé;442;5.38;50.2;23.6;3.7
Gâteau moelleux fourré au chocolat et enrobé ou nappé de chocolat, préemballé;440;5;53.8;21.8;2.7
Gâteau moelleux fourré au chocolat et au lait, enrobé de chocolat, préemballé;446;5.81;52.9;23.1;1.58
Muffin, aux fruits (myrtilles et autres), préemballé;397;4.81;49.1;19.9;1.34
Muffin, au chocolat, préemballé;444;5.58;52.5;23;2.42
Biscuit sec, sans précision;433;7.83;67.8;13.8;3
Biscuit sec nature;438;7.13;74.9;11.5;3.3
Biscuit sec à teneur garantie en vitamines;457;9.63;72.3;14.2;0.75
Biscuit sec à teneur garantie en vitamines et minéraux;472;10.8;61.1;19.8;3.5
Biscuit sec aux fruits, hyposodé ou à teneur réduite en sel;448;8.88;64;16;5.4
Biscuit sec au soja, enrichi en vitamines et minéraux;444;10.9;60.3;16.1;6.6
Biscuit sec fourré aux fruits, allégé en matière grasse;391;4.69;75.3;7.2;3
Spéculoos;476;5.63;71.2;18.1;3
Biscuit sec, avec matière grasse végétale;436;7.23;74;11.7;3.1
Biscuit sec, assortiment;515;6.44;61.4;26.4;2.9
Biscuit sec au chocolat, sans sucres ajoutés, avec édulcorants, enrichi en vitamines;448;6.78;64.6;21.8;3.71
Biscuit sec, sans sucres ajoutés, avec édulcorant;429;6.23;72.1;15.7;3.93
Biscuit sec avec tablette de chocolat et fourrage au lait;512;6.75;62.3;25.6;2.7
Biscuit sec petit beurre;450;7.78;73.4;13.3;2.54
Biscuit sec avec tablette de chocolat;485;5.56;68.8;20;3.5
Biscuit sec petit beurre au chocolat (tablette ou pépites);496;6.88;63.8;22.8;4
Biscuit sec sans gluten, petit beurre;460;3.8;79.3;14;0.9
Biscuit sec sans gluten, au chocolat;504;5.04;64;24.7;2.95
Biscuit sec aux céréales complètes;462;7.75;63;18.4;6.6
Biscuit sec petit beurre au blé complet;439;9.25;66.6;13.4;7.2
Biscuit sec au sésame, non enrichi;496;9.19;60;23.3;4.84
Biscuit sec au sésame, enrichi en vitamines et minéraux;485;11.5;60;21;4.9
Biscuit sec sans chocolat, allégé en matière grasse;388;6;71;6;13
Biscuit sec pour petit déjeuner, sans chocolat, non enrichi;452;7.81;65.8;16.3;5.5
Biscuit sec pour petit déjeuner, allégé en sucres;444;7.78;66.2;15;6.7
Biscuit sec au chocolat, non enrichi;507;7.75;59.5;25.6;3.9
Biscuit sec fourré à la pâte ou purée de fruits (ex : figue);421;4.93;71.6;12.3;2
Biscuit sec, sablé, nappé de chocolat;495;6.56;63.5;22.9;4.1
Biscuit sec pour petit déjeuner, au chocolat, non enrichi;447;8.06;62.9;16.4;7.6
Biscuit sec pour petit déjeuner, tous parfums, enrichi en vitamines et minéraux;454;7.06;67.3;16.1;5.8
Biscuit sec au chocolat, enrichi en vitamines et minéraux;461;8.96;61.9;18.3;6.54
Biscuit sec, sablé, galette ou palet, autre que pur beurre;495;5.71;64.5;23.1;3.34
Biscuit sec, sablé, galette ou palet, au beurre;481;6.81;66.8;20;3.2
Biscuit sec, sablé, galette ou palet, au beurre, au chocolat;499;6.33;63.5;23.7;3.11
Biscuit (génoise), nappé de chocolat, type barquette;489;7.38;59.5;23.9;3.1
Biscuit sec (tartelette), nappé au chocolat, préemballé;504;6.58;59.7;25.6;3.71
Biscuit sec, sablé, galette ou palet, aux fruits;482;5.8;66.3;21;2.37
Florentin (biscuit sec au chocolat et aux amandes);514;9.31;50.7;28.7;7.6
Biscuit sec, sablé, fourré aux fruits type lunette de Romans;449;6.06;69.2;16;2.04
Biscuit meringué fourré (chocolat, noisette, noix de coco…), nappé ou sur base de chocolat;540;7.65;54.5;31.5;3.95
Biscuit sec à la noix de coco;493;6.32;65.4;22.1;3.51
Sablé pâtissier, artisanal;484;8.38;59.4;22.9;3.3
Biscuit au chocolat fourré ("sandwiché") parfum vanille, rond, noir et blanc;480;5.06;69.2;19.6;3.2
Goûter sec fourré ("sandwiché") parfum lait ou vanille;478;5;70;19;3.6
Goûter sec fourré ("sandwiché") parfum chocolat, au blé complet;465;5.94;69.3;17.2;4.8
Goûter sec fourré ("sandwiché") parfum chocolat;471;6.31;67.5;18.5;4.7
Goûter sec fourré ("sandwiché") parfum fruits;407;5.13;73.6;9.4;3.7
Gaufrette (éventail, cigarette…), sans fourrage;437;6.51;80;9.7;2.05
Gaufrette fourrée et/ou enrobée de chocolat;534;6.63;56.6;30.5;3.5
Gaufrette fourrée, aux fruits à coque (noisette, amande, praliné, etc.), avec ou sans chocolat;562;9;49;36.1;2.5
Gaufrette, fourrée vanille;538;5.75;60.1;30.1;1.6
Gaufrette fourrée, aux fruits;355;4.13;81;0.8;2.7
Crêpe dentelle nature;467;6.37;73.1;16.2;1.7
Crêpe dentelle, nappée de chocolat;498;5.75;67.4;22.1;3.5
Biscuit sec aux oeufs à la cuillère (cuiller) ou boudoir;366;7.75;74.5;3.4;2.9
Biscuit sec, type langue de chat ou cigarette russe;475;5.27;72.7;17.8;1.55
Meringue;396;4.82;93.2;0.52;0
Biscuit sec croquant aux amandes (ex. canistrelli);454;9.04;68.2;15.4;3.2
Biscuit sec fin ou tuile, aux amandes;471;7.8;68;18.1;2.1
Biscuit sec fin ou tuile, saveur citron ou orange;419;6.37;69.7;9.73;13.6
Madeleine, pur beurre, préemballée;453;5.88;52.4;24.1;1.27
Madeleine au chocolat (nappage, pépites ou fourrage…), préemballée;447;5.45;53.7;22.7;2.05
Madeleine ordinaire, préemballée;441;5.55;55.3;21.6;1.4
Biscuit sec ou galette à l'avoine, nappée de chocolat;509;5.73;61.3;26;3.58
Biscuit sec ou galette à l'avoine;491;5.64;63.9;22.9;3.41
Cookie aux cranberries et au chocolat blanc, préemballé;488;4.76;65.9;22.4;2.1
Biscuit sec, type batonnet, stick, vrille ou torsade, nappé de chocolat;510;6.86;63.1;25.1;2.42
Biscuit sec feuilleté, type palmier ou autres, nappé de chocolat;532;5.93;59.7;29.4;2.33
Biscuit sec feuilleté, type palmier ou autres, préemballé;528;6.06;56.8;30;3.4
Biscuit sec feuilleté, type palmier ou autres, artisanal;499;5.93;47.8;30.4;5.3
Tarte aux poires amandine;310;4.9;37.7;14.9;2.3
Gâteau aux amandes type financier, préemballé;447;8.26;44.3;25.7;2.3
Mille-feuille;292;3.88;43.7;11.3;0.24
Gâteau moelleux sans gluten (cake, madeleine…), préemballé;443;4.74;50.7;24.2;1.62
Gâteau moelleux sans gluten (cake, brownie…), au chocolat, préemballé;434;5.38;49.6;24.4;2.18
Cookie au chocolat et aux fruits à coque (noisettes, amandes, noix de pécan…), préemballé;507;6.78;57;27.1;4.02
Biscuit (génoise), nappé aux fruits, type barquette;341;4.44;74.4;2.1;2.8
Biscuit sec (tartelette), nappé aux fruits, préemballé;424;4.63;71.3;13;1.94
Biscuit moelleux fourré à l'orange et enrobé de sucre glace;359;4.1;80;2.1;1.7
Cookie au chocolat, préemballé;493;6.44;61;23.8;4.3
Cône ou cornet classique, pour glace;401;7.5;80.4;5;2
Biscuit (génoise), fourré aux fruits (ex : orange, cerise…), nappé de chocolat;395;3.88;66.6;11.7;3.2
Cookie aux pépites de chocolat et à la noix de coco, préemballé;519;5.93;54.5;29.8;4.85
Biscuit pour bébé;439;7.5;73.3;12.3;2.4
Poisson blanc en sauce, préemballé (aliment moyen);147;13.2;4.67;8.1;1.14
Dessert (aliment moyen);255;4.41;32.9;11.3;1.7
Blanquette de veau, préemballée;113;15.4;3.1;4;0.8
Cassoulet, appertisé;129;8.06;9.41;5.77;3.55
Choucroute garnie, préemballée;109;5.06;2.8;8.06;2.71
Hachis parmentier à la viande, préemballé;138;5.99;9.39;8.22;1.43
Petit salé ou saucisse aux lentilles, préemballé;118;8.24;8.89;4.87;2.83
Pot-au-feu, préemballé;77.5;10.9;3.2;2.02;1.5
Ratatouille cuisinée, préemballée;57.1;1.22;4.97;3.15;2.03
Ravioli au boeuf, sauce tomate, appertisé;95.3;4.22;12.5;2.83;1.41
Soufflé au fromage;185;10.9;4.75;13.4;1.15
Épinard à la crème, préemballé;57.3;2.5;4.1;2.9;1.9
Couscous au mouton;149;8.31;12.2;7.2;1.3
Paëlla, préemballée;148;7.86;17.1;4.9;1.85
Boeuf bourguignon, préemballé;84.3;10.3;4.17;2.61;1.5
Sauté d'agneau au curry, préemballé;169.1;10.5;0;13.9;1
Gratin ou cassolette de poisson et / ou fruits de mer,  préemballé, cru;105;6.13;8.39;5.1;0.5
Gratin ou cassolette de poisson et / ou fruits de mer, préemballé, cuit;117;6.69;5.28;7.5;0.7
Couscous à la viande ou au poulet, allégé en matière grasse, préemballé,;90.7;5.9;11.5;1.9;2
Gratin d'aubergine, préemballé;105;1.5;5.5;8;2.5
Gratin dauphinois, préemballé;113;3.38;14.5;4.2;1.5
Poêlée de pommes de terre préfrites, lardons ou poulet, et autres, sans légumes verts, préemballée;171;3.2;17;9.6;2.1
Canard en sauce (poivre vert, chasseur, etc.), préemballé;145;9.55;10.2;7.3;0
Lapin à la moutarde, préemballé;108;14.9;0.5;5;0.8
Boeuf aux carottes, préemballé;95;13.2;2.91;3.15;1.1
Potée auvergnate (chou et porc);115;7.28;4.85;6.9;2.1
Endive au jambon, préemballée;109;7.44;4.71;6.3;1.5
Saumon sauce à l'oseille, préemballé;157;9.5;8.23;9.5;0.5
Lasagnes ou canellonis à la viande (bolognaise), préemballés;134;6.29;13.5;5.72;1.91
Pâtes à la bolognaise (spaghetti, tagliatelles…), préemballées;116;5.32;13.6;4.07;1.9
Poisson blanc à la bordelaise (chapelure, huile…), préemballé;176;14.8;5.3;10.4;1
Riz cantonais, préemballé;164;5.46;23.6;4.94;1.74
Cordon bleu de volaille, préemballé;226;14;14.6;12.2;0.78
Cassoulet au porc, appertisé;132;8.3;8.6;6.3;4
Cassoulet au canard ou oie, appertisé;161;10.5;10.1;7.86;3.86
Gratin de chou-fleur, préemballé;86.3;3;3.3;6.5;1.3
Tomate farcie, préemballée;127;6;2.95;9.67;2.1
Chou farci, préemballé;94.9;5.3;2;6.6;3.13
Couscous au poisson;105;7.5;14.2;1.6;1.7
Samossa ou samoussa ou brick garni, préemballé, cuit;230;9.33;16.5;13.7;1.8
Ravioli chinois à la vapeur à la crevette, cuit;172;5.5;23.2;5.5;3.6
Chili con carne, préemballé;118;7.13;13;3.35;3.56
Coq au vin;133;13;4;7;1
Gratin de pâtes au jambon, préemballé;179;7.06;16.4;9.2;1
Moussaka, préemballée;147;5.82;5.16;10.8;2.84
Navarin d'agneau aux légumes;135;9.72;3.85;8.61;1.53
Paupiette de veau;181;14.6;4.67;11.3;0.69
Paupiette de volaille;163;17.4;8.8;6.19;1.17
Couscous royal (avec plusieurs viandes), préemballé;132;7.69;14;4.53;2.1
Poisson blanc à la provençale ou niçoise (sauce tomate), préemballé;73.4;9.31;3.1;2.3;1.5
Lasagnes ou cannellonis aux légumes, préemballées, cuits;120;4.38;10.1;5.9;2.25
Pâtes à la carbonara (spaghetti, tagliatelles…), préemballées;161;5.91;14.2;8.7;1.18
Tartiflette (pommes de terre, reblochon, lardons…), préemballée;161;6;13.5;8.9;0.8
Couscous au poulet;130;7.5;15.6;3.85;1.47
Lasagnes ou cannellonis au poisson, préemballées;148;7.28;13;7.1;1.68
Poisson blanc à la florentine (sauce aux épinards), préemballé;96;12;2;4;2
Poisson blanc à la marinière (sauce aux oignons, vin blanc, moules), préemballé;80;11.5;2.2;2.8;0
Poisson blanc à la sauce moutarde, préemballé;90.8;9.2;5.4;3.6;0
Poisson blanc à la parisienne (sauce aux champignons), préemballé;81.5;9;3;3.5;1
Poisson blanc à l'estragon, préemballé;77.2;8.8;4.2;2.8;0
Poisson blanc sauce oseille, préemballé;111;11.8;3;5.5;1
Pâtes fraîches farcies (ex : raviolis, tortellinis, ravioles du Dauphiné), au fromage, préemballées, cuites;226;10;26.8;8.3;1.9
Couscous de légumes, préemballé;108;4.32;16.4;2.25;2.24
Feuilleté ou friand au poisson et/ou fruits de mer, préemballé, à cuire;260;6.55;27.9;13;2.9
Couscous à la viande, préemballé;128;7.59;12.5;4.73;2.53
Gratin de poisson et purée ou brandade aux pommes de terre ou parmentier de poisson, préemballé;117;6.39;8.57;6.15;1.1
Pâtes fraîches farcies (ex : raviolis, tortellinis), au fromage et aux légumes, préemballées, cuites;219;7.94;27.8;7.5;3.4
Pâtes fraîches farcies (ex : raviolis, tortellinis), au boeuf (ex : bolognaise), préemballées, crues;265;11.4;40.3;5.79;3.15
Pâtes fraîches farcies (ex : raviolis, tortellinis), au boeuf (ex : bolognaise), préemballées, cuites;174;6.94;25.1;4.65;2.15
Tajine de mouton, préemballé;131;12.8;4.5;6.83;0
Gratin de légumes, préemballé;106;3.44;6.91;6.7;1.7
Boulettes au boeuf, cuites;217;18.5;5.65;13.3;0.63
Osso buco de veau à la milanaise (jarret de porc , légumes, vin blanc);102;12.5;3.5;4.06;0.6
Spécialité chinoise type bouchée à la vapeur, préemballée, cuite;149;5.9;28;1.4;0.21
Viande en sauce (aliment moyen);109;11.7;4.23;4.7;1.22
Escalope panée, viennoise ou milanaise, veau, cuite;271;22.9;12.6;14.1;0.94
Poulet au curry et au lait de coco, préemballé;125;10.6;4.07;6.9;1.1
Meloukhia, plat à base de boeuf et corète, fait maison;189;10.6;1.2;14.7;4.7
Pâtes fraîches farcies (ex : raviolis, tortellinis, ravioles du Dauphiné), au fromage, préemballées, crues;268;11.3;37.3;7.69;2.23
Pâtes fraîches farcies (ex : raviolis, tortellinis), au fromage et aux légumes, préemballées, crues;262;9.98;41.4;5.69;2.87
Nouilles aux crevettes, préemballées, sautées/poêlées;104;4.88;12.6;3.4;1.6
Boulettes au porc et au boeuf (à la suédoise), préemballées, crues;254;17.4;4.8;18.2;0.8
Risotto, aux légumes, préemballé;120;2.74;18.4;3.8;0
Risotto, aux fruits de mer, préemballé;130;5.47;12.5;6.07;1.15
Risotto, aux fromages, préemballé;195;5.65;30.9;5.16;0.7
Poulet basquaise, préemballé;107;9.3;2.5;6.4;1.3
Ravioli aux légumes, à la sauce tomate, appertisés;91.1;2.88;13.5;2.45;1.7
Pâtes fraîches farcies (ex : raviolis, tortellinis), aux légumes, préemballées, cuites;156;5.19;20.9;4.9;3.7
Boulettes au boeuf et à l'agneau (type kefta), préemballées, crues;220;14.9;9.7;13.3;0.8
Parmentier de canard, préemballé, à cuire;146;6.82;8.51;9.06;1.55
Riste d'aubergines (aubergines, tomates, oignons), préemballée;145;1.05;10.6;10.4;2.6
Pâtes en sauce aux fromages (spaghetti, tagliatelles…), préemballées;163;7.17;15.9;7.4;1.85
Palet ou galette de légumes, préfrit, surgelé;101;2.33;8.67;5.67;3
Palette à la diable, préemballée;102;13;1;4.5;2.5
Langue de boeuf sauce madère, préemballée;180;9.5;4.5;13.5;1
Pâtes fraîches farcies (ex : raviolis, tortellinis), aux légumes, préemballées, crues;255;9.4;41.4;5.06;3.02
Tajine de poulet, préemballé;127;7.54;14.4;3.7;3
Chop suey (porc ou poulet, légumes), préemballé;78.2;5;7.8;3;0
Porc au caramel, préemballé;136;10;11.4;5.4;0.7
Palet ou galette de légumes, préfrit, surgelé, cuit;105;3.31;8.45;5.7;2.6
Saumon farci, préemballé;227;18.8;0.4;16.2;2.4
Boulettes au boeuf, à la sauce tomate, préemballées;117;9;5.5;6.5;0
Paupiette de veau, préemballée, rôtie/cuite au four;276;22;0.48;20.5;0.9
Pâtes fraîches farcies (ex : raviolis, tortellinis), cuites (aliment moyen);198;7.97;25.6;6.48;2.49
Feuille de vigne farcie au riz ou dolmas, égouttée, préemballée;150;2.5;18.6;6.5;2.6
Lasagnes ou cannellonis aux légumes et au fromage de chèvre, préemballés, cuits;179;7;14;10.2;1.4
Choucroute cuisinée aux lardons, sans garniture, égouttée, cuite;75.5;1.38;0;6.6;4.5
Boulettes au boeuf et à l'agneau (type kefta), préemballées, cuites;235;15.7;7.5;15.7;0
Boulettes au porc et au boeuf (à la suédoise), préemballées, cuites;258;14.4;7.7;18.6;0
Bouchées ou émincé végétal au soja et blé (convient aux véganes ou végétaliens), préemballé;157;19.5;6.76;3.7;4.86
Bouchées ou émincé au soja et blé  (ne convient pas aux véganes ou végétaliens), préemballé;185;17.6;8.19;7;5.24
Nuggets ou croquette panée de blé (sans soja), préemballé;284;12.6;22.4;14.9;2.55
Nuggets ou croquette panée de soja et blé (ne convient pas aux véganes ou végétaliens), préemballé;253;14.1;18.5;12.6;4.18
Nuggets ou croquette panée de soja et blé (convient aux véganes ou végétaliens), préemballé;251;15.5;19.7;10.9;5.38
Pané soja et blé (ne convient pas aux véganes ou végétaliens);260;14.4;16.8;13.9;4.39
Bâtonnet pané soja et blé (convient aux véganes ou végétaliens), préemballée;245;16.9;18.8;10;5.41
Pané soja, blé et fromage, type cordon bleu, préemballé;247;15.2;15.1;13.1;3.28
Ravioli au tofu, à la sauce tomate, préemballés;91.7;3.13;12.5;2.7;2.1
Saucisse végétale au blé ou seitan, préemballé;250;27.1;7.53;10.5;4.6
Galette de céréales au fromage (sans soja), préemballée;241;7;27.8;10.3;4.3
Galette de céréales aux légumes (sans soja), préemballée;211;5.31;28;7.6;4.4
Gratin de légumes, fait maison;107;3.15;3.59;8.51;1.7
Paëlla (poulet fruit de mer, chorizo, colin), fait maison;135;6.38;22;2.2;0.8
Nouilles asiatiques instantanées, aromatisées, cuites;164;3.75;21.1;6.9;1
Feuilleté ou friand jambon fromage, préemballé;278;8.46;22.7;16.7;1.9
Feuilleté ou friand au fromage, préemballé, à cuire;283;6.08;26.2;16.9;1.18
Feuilleté ou friand aux escargots, préemballé;321;6.69;23.1;22.1;1.74
Croque-monsieur, jambon, fromage et beurre, fait maison;222.8;14.3;0;18.4;0
Feuilleté ou friand au fromage, préemballé, cuit;302;8.25;28.1;17.1;1.3
Feuilleté ou friand à la viande, préemballé;354;9.59;27.3;22.6;1.63
Hot-dog, préemballé;278;10.9;26.3;13.8;1.6
Pizza au fromage ou pizza margherita, préemballée;224;8.55;29.6;7.41;2.27
Quiche lorraine, préemballée;269;8.39;21.5;16.4;1.39
Crêpe ou galette béchamel et jambon, préemballée;199;7.5;24.3;8;0
Crêpe ou galette béchamel, jambon et fromage, préemballée;179;9.83;16.3;7.9;1.77
Crêpe ou galette béchamel et champignon, préemballée, surgelée;144;4.5;20;5;0.5
Bouchée à la reine, à la viande/volaille/quenelle;296;6.12;24.5;18.9;1.65
Hamburger, de restauration rapide;251;13.3;29.5;8.44;1.8
Cheeseburger, de restauration rapide;290;13.7;22.3;15.8;1.4
Double cheeseburger, de restauration rapide;290;15.5;19.4;16.7;0
Burger au poisson, de restauration rapide;263;12.2;26.7;11.5;1.5
Tarte aux légumes, préemballée;216;5;21.8;11.7;1.7
Croissant au jambon fromage, fait maison;264;7.9;24.8;14.6;1
Rouleau de printemps;103;4.57;16.6;1.82;1.2
Sandwich grec ou kebab, pita, crudités;232;15.2;17;10.9;2.3
Sandwich grec ou kebab, baguette, crudités;272;15;29.9;9.8;2
